STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DT00,DT32,DX32,DX70,DX90,EMNT,EMXP,EMXT,HTDD,PRCP,TAVG,TMAX,TMIN
IN003010600,"SILCHAR, IN",24.75,92.8,29,2025-03,735.0,388.0,22.31578947,17.84210526,0,0,0,30.0,18.0,59.0,6.698421053,95.0,0.0,24.45368421,78.5,90.6,66.3
IN003010600,"SILCHAR, IN",24.75,92.8,29,2025-04,1238.0,503.0,22.31578947,17.84210526,0,0,0,30.0,26.0,66.0,6.698421053,97.0,0.0,24.45368421,83.0,93.1,72.9
IN003010600,"SILCHAR, IN",24.75,92.8,29,2025-05,1751.0,513.0,26.0,22.0,0,0,0,30.0,23.0,70.0,3.03,98.0,0.0,15.87,83.4,92.5,74.4
IN023522100,"TEHRI, IN",30.4,78.483,899,2025-03,2.0,2.0,22.31578947,17.84210526,0,0,0,9.0,0.0,38.0,6.698421053,77.0,240.0,24.45368421,57.1,68.0,46.2
IN023522100,"TEHRI, IN",30.4,78.483,899,2025-04,49.0,47.0,22.31578947,17.84210526,0,0,0,29.0,0.0,47.0,6.698421053,81.0,18.0,24.45368421,65.9,76.9,55.0
IN023522100,"TEHRI, IN",30.4,78.483,899,2025-05,118.0,69.0,22.31578947,17.84210526,0,0,0,28.0,0.0,50.0,6.698421053,82.0,11.0,24.45368421,67.1,77.7,56.5
IN011020300,"JAGDALPUR, IN",19.083,82.033,553,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,54.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,68.0
IN005090100,"DWARKA, IN",22.367,69.083,11,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,66.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,73.9
IN005090100,"DWARKA, IN",22.367,69.083,11,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,75.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,78.7
IN005090100,"DWARKA, IN",22.367,69.083,11,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,79.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,83.4
IN004011500,"BHAGALPUR, IN",25.233,86.95,49,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,55.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,64.8
IN004011500,"BHAGALPUR, IN",25.233,86.95,49,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,65.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,72.7
IN004011500,"BHAGALPUR, IN",25.233,86.95,49,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,71.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,77.6
IN017110100,"PURI, IN",19.8,85.817,6,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,71.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,82.2
